Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Seattle Kraken,82,50:46,46,28,8,46,100,0.61,57.73,52.42,52.41,43.37,38.36,53.06,30.28,26.19,53.62,3.39,2.68,55.82,2.8,2.54,52.43,27.51,26.72,50.73,15.98,14.21,52.94,2.8,2.33,54.49,17.49,83.57,10.64,11.24,48.62,7.47,7.31,50.54,1.59,1.56,50.46,21.24,78.7,16.88,15.48,52.16,8.52,6.9,55.23,1.21,0.78,60.87,14.21,88.73,24.66,21.37,53.57,12.64,10.42,54.81,0.49,0.27,64.15,3.88,97.37,11.19,89.76,1.009,2023-07-04
Anaheim Ducks,82,50:53,23,47,12,20,58,0.354,49.99,66.69,42.85,37.43,51.83,41.93,27.42,38.16,41.81,2.43,3.59,40.33,2.39,3.53,40.37,24.66,34.95,41.37,14.49,21.7,40.05,2.0,2.85,41.25,13.79,86.88,10.28,16.19,38.84,7.49,12.08,38.28,1.22,2.0,37.95,16.31,83.45,14.38,18.76,43.38,7.0,9.62,42.13,0.78,0.85,47.79,11.09,91.18,19.97,27.23,42.31,10.4,15.0,40.94,0.39,0.68,36.49,3.73,95.49,8.86,90.58,0.994,2023-07-04
Vancouver Canucks,82,50:51,38,37,7,32,83,0.506,52.01,56.01,48.15,38.77,41.8,48.13,28.29,29.94,48.58,2.78,3.05,47.65,2.57,2.84,47.48,26.83,29.22,47.87,15.93,17.01,48.36,2.3,2.52,47.76,14.45,85.19,11.37,12.33,47.97,8.32,8.76,48.69,1.6,1.67,48.9,19.2,80.95,15.47,16.89,47.8,7.61,8.24,48.0,0.7,0.85,45.37,9.26,89.7,21.24,22.44,48.62,11.02,11.29,49.39,0.43,0.43,50.0,3.92,96.18,9.82,89.81,0.996,2023-07-04
Edmonton Oilers,82,50:06,50,23,9,50,109,0.665,58.36,53.53,52.16,43.7,40.98,51.6,32.19,30.3,51.52,3.15,2.69,54.0,3.18,2.68,54.27,31.58,27.55,53.41,18.86,16.43,53.45,2.72,2.26,54.55,14.4,86.22,14.1,11.2,55.74,10.12,8.09,55.57,1.66,1.39,54.55,16.45,82.85,17.48,16.35,51.66,8.75,8.34,51.2,1.05,0.88,54.55,12.02,89.49,22.51,21.39,51.28,11.74,11.94,49.57,0.42,0.35,54.72,3.61,97.07,9.8,91.13,1.009,2023-07-04
Arizona Coyotes,82,49:39,28,40,14,25,70,0.427,49.12,60.15,44.95,36.56,45.7,44.45,25.94,32.89,44.09,2.58,3.07,45.69,2.38,3.03,43.93,25.14,31.58,44.32,14.53,18.64,43.8,2.15,2.64,44.92,14.81,85.85,10.06,13.17,43.31,7.0,9.31,42.91,1.31,1.71,43.41,18.74,81.65,15.08,18.41,45.03,7.53,9.33,44.67,0.84,0.93,47.5,11.15,90.05,20.11,24.12,45.47,10.23,12.84,44.35,0.4,0.35,52.94,3.89,97.24,9.94,90.68,1.006,2023-07-04
Pittsburgh Penguins,82,49:48,40,31,11,39,91,0.555,63.21,58.37,51.99,47.05,43.36,52.04,33.98,31.75,51.7,2.84,2.97,48.86,3.29,2.9,53.2,31.93,29.03,52.37,18.56,17.32,51.72,2.32,2.44,48.77,12.51,85.92,14.44,12.56,53.48,10.11,9.14,52.52,1.69,1.67,50.22,16.72,81.67,17.48,16.47,51.49,8.45,8.18,50.8,0.63,0.76,45.26,7.48,90.66,25.8,24.36,51.44,13.25,12.61,51.25,0.46,0.46,50.0,3.44,96.39,8.34,90.65,0.99,2023-07-04
New Jersey Devils,82,51:39,52,22,8,50,112,0.683,64.44,54.53,54.17,47.43,39.6,54.5,34.17,27.44,55.46,3.27,2.45,57.18,3.45,2.56,57.39,34.91,26.69,56.67,20.3,14.48,58.37,2.75,2.01,57.74,13.54,86.11,14.92,10.55,58.57,10.51,6.97,60.13,1.83,1.33,57.85,17.39,80.89,19.99,16.14,55.33,9.79,7.51,56.59,0.92,0.68,57.52,9.41,90.94,24.34,23.01,51.41,12.23,11.42,51.71,0.45,0.4,53.33,3.71,96.53,9.58,91.07,1.006,2023-07-04
Philadelphia Flyers,82,51:12,31,38,13,29,75,0.457,54.39,60.43,47.37,40.8,43.16,48.6,29.37,30.56,49.01,2.49,2.97,45.55,2.55,2.83,47.38,25.73,30.56,45.71,14.92,16.76,47.09,2.1,2.51,45.51,14.08,85.0,11.23,12.54,47.24,7.64,8.37,47.73,1.41,1.44,49.5,18.5,82.76,14.5,18.02,44.6,7.27,8.39,46.44,0.69,1.07,39.02,9.43,87.22,23.8,25.2,48.57,12.7,12.19,51.03,0.34,0.37,48.0,2.7,96.95,8.46,90.28,0.987,2023-07-04
Ottawa Senators,82,48:18,39,35,8,37,86,0.524,61.25,57.4,51.62,45.77,42.0,52.15,32.52,30.35,51.72,2.68,3.01,47.07,3.01,2.75,52.25,30.9,29.84,50.87,17.27,16.66,50.89,2.35,2.45,48.9,13.6,85.27,12.99,12.07,51.84,8.92,8.09,52.45,1.53,1.51,50.25,17.15,81.27,17.9,17.77,50.19,8.35,8.57,49.33,0.82,0.94,46.55,9.8,89.05,24.57,22.63,52.05,13.02,11.8,52.47,0.29,0.48,37.25,2.21,95.89,8.24,90.07,0.983,2023-07-04
Buffalo Sabres,82,50:47,42,33,7,39,91,0.555,57.55,54.96,51.15,43.55,43.4,50.08,31.63,32.25,49.52,3.18,3.3,49.11,3.02,3.05,49.73,30.78,30.24,50.45,17.93,18.78,48.84,2.65,2.69,49.6,14.78,85.66,12.14,13.51,47.33,8.54,9.77,46.66,1.64,1.71,48.93,19.22,82.45,18.64,16.72,52.71,9.39,9.02,51.02,1.01,0.98,50.72,10.74,89.14,22.56,20.83,51.99,11.96,12.09,49.73,0.45,0.55,44.93,3.73,95.47,10.06,89.77,0.998,2023-07-04
Florida Panthers,82,48:58,42,32,8,40,92,0.561,66.27,55.74,54.32,49.34,42.97,53.46,36.05,30.98,53.78,3.27,2.88,53.16,3.34,2.99,52.76,34.14,28.25,54.72,20.03,17.14,53.9,2.6,2.15,54.72,12.98,87.45,14.98,13.1,53.35,10.65,9.34,53.29,1.85,1.33,58.22,17.39,85.76,19.15,15.15,55.84,9.38,7.8,54.61,0.75,0.82,47.62,7.96,89.46,27.13,22.75,54.39,14.34,12.24,53.96,0.58,0.64,47.56,4.06,94.75,9.08,90.69,0.998,2023-07-04
New York Islanders,82,51:24,42,31,9,41,93,0.567,58.91,59.64,49.69,42.71,43.54,49.52,30.42,30.2,50.18,2.86,2.43,54.03,2.82,2.96,48.8,30.1,29.92,50.15,17.18,16.67,50.76,2.36,2.01,54.07,13.75,87.96,12.98,12.95,50.05,8.97,8.97,50.0,1.45,1.32,52.31,16.19,85.24,17.12,16.97,50.23,8.21,7.7,51.61,0.91,0.68,57.14,11.09,91.13,23.85,24.81,49.02,11.59,11.88,49.36,0.43,0.33,56.6,3.69,97.25,9.41,91.94,1.013,2023-07-04
Dallas Stars,82,50:39,47,21,14,43,108,0.659,59.27,55.45,51.66,42.63,41.27,50.81,30.28,29.25,50.86,2.99,2.46,54.91,2.9,2.55,53.24,30.31,26.46,53.38,17.35,15.37,53.02,2.37,2.05,53.59,13.66,86.65,12.67,10.98,53.57,8.83,7.76,53.22,1.6,1.34,54.41,18.17,82.68,17.64,15.48,53.25,8.52,7.61,52.82,0.77,0.71,51.96,8.98,90.7,23.42,23.34,50.08,11.37,12.23,48.16,0.46,0.35,57.14,4.07,97.17,9.88,91.6,1.015,2023-07-04
Minnesota Wild,82,51:00,46,25,11,39,103,0.628,56.57,57.51,49.59,42.01,41.64,50.22,28.99,30.23,48.95,2.45,2.42,50.29,2.68,2.61,50.66,26.88,27.19,49.71,15.05,16.25,48.08,1.92,1.96,49.45,12.77,87.91,11.19,10.96,50.52,7.75,7.97,49.27,1.35,1.33,50.27,17.41,83.27,15.69,16.24,49.15,7.3,8.28,46.87,0.57,0.63,47.62,7.86,92.37,24.27,25.26,49.0,12.11,12.51,49.18,0.46,0.4,53.33,3.79,96.79,8.46,91.98,1.004,2023-07-04
Calgary Flames,82,50:12,38,27,17,36,93,0.567,66.62,49.9,57.17,49.22,37.47,56.78,35.02,26.39,57.02,2.91,2.83,50.76,3.14,2.54,55.25,32.15,26.64,54.69,18.82,16.03,53.99,2.36,2.49,48.65,12.55,84.45,12.49,10.95,53.3,8.92,7.7,53.68,1.47,1.53,49.03,16.5,80.11,19.66,15.7,55.61,9.9,8.34,54.28,0.89,0.96,48.03,8.98,88.46,28.36,18.61,60.38,13.89,8.73,61.4,0.51,0.29,63.64,3.67,96.66,8.32,89.29,0.976,2023-07-04
Detroit Red Wings,82,50:31,35,37,10,32,80,0.488,50.38,58.01,46.48,37.41,42.12,47.04,26.84,29.49,47.65,2.53,3.0,45.81,2.45,2.72,47.43,24.14,29.48,45.03,13.93,16.11,46.38,2.04,2.42,45.78,14.66,84.98,9.97,12.33,44.7,7.36,8.28,47.04,1.19,1.49,44.32,16.14,81.99,14.18,17.15,45.26,6.58,7.82,45.67,0.85,0.93,47.97,13.0,88.15,22.07,23.72,48.2,11.33,11.66,49.28,0.42,0.54,43.94,3.71,95.4,9.44,89.83,0.993,2023-07-04
Winnipeg Jets,82,49:57,46,33,3,45,95,0.579,58.52,54.94,51.58,43.61,41.44,51.27,29.74,30.0,49.78,2.71,2.58,51.25,2.95,2.83,51.03,29.65,27.32,52.04,16.27,16.3,49.96,2.21,2.02,52.25,13.59,87.6,12.86,11.69,52.39,8.38,7.97,51.25,1.44,1.41,50.52,17.13,82.35,16.79,15.63,51.78,7.9,8.33,48.65,0.78,0.62,55.79,9.83,92.62,24.04,22.76,51.36,12.03,12.13,49.79,0.45,0.47,49.21,3.78,96.14,9.11,91.41,1.005,2023-07-04
St Louis Blues,82,51:16,37,38,7,34,81,0.494,50.46,59.57,45.86,38.2,44.67,46.1,28.2,31.74,47.05,2.95,3.2,48.03,2.47,3.15,44.0,26.67,31.77,45.64,16.01,18.55,46.33,2.54,2.64,49.04,15.86,85.77,10.09,13.02,43.67,7.52,9.16,45.08,1.38,1.9,42.17,18.41,79.28,16.58,18.75,46.93,8.49,9.39,47.49,1.16,0.74,60.9,13.61,92.1,20.15,23.4,46.26,10.59,11.77,47.35,0.36,0.44,44.64,3.37,96.24,10.48,89.93,1.004,2023-07-04
